Аламбра,#ebd5bd,alambra
Алюминий,#a5a5a5,aluminum
Антарес,#e8e8e8,antares
Арктик,#b3c1c6,arctic
Базальт,#8c7362,basalt
Баклажан,#54095c,eggplant
Бежевый,#f5f5dc,beige
Белый,#ffffff,white
Белый глянец,#F8F8FF,white-gloss
Белый металик,#eeeeee,white-metalic
Белый с фотопечатью,#FFFFF0,white-with-print
Бетао,#9e9a97,betao
Бирюзовый,#30d5c8,turquoise
Бланж,#d8d8d8,blange
Бордо,#b00000,bordeaux
Ваниль,#f3e5ab,vanilla
Венге,#645452,wenge
Галифакс табак,#997b38,tobacco
Голубой,#42aaff,light-blue
Гранат металик,#f34723,garnet-metalic
Гранит белый,#c8d1c4,granite-white
Графит,#474c4d,graphite
Грей нубук,#4b4640,grey-nubuk
Деним голубой,#cfe2f3,denim-blue
Дуб Венге,#4D2B12,oak-wenge
Дуб Вотан,#af884a,oak-wotan
Дуб Галифакс,#ac8a56,oak-galifaks
Дуб Делано,#8b5a2b,oak-delano
Дуб Золотой,#be752d,oak-gold
Дуб кофе,#6f4e37,oak-coffe
Дуб кремовый,#fdf4e3,oak-beige
Дуб Млечный,#faeedd,oak-milky
Дуб Сильвер,#877567,oak-silver
Дуб Сонома,#fbe1b9,oak-sonoma
Дуб Торонто,#82663f,oak-toronto
Жёлтый,#FFCF40,yellow
Зелёный,#008000,green
Камень тёмный,#535059,stone-shadow
Капучино,#d0aa9b,cappuccino
Карельская берёза,#DBD7D2,karelian-birch
Квазар,#2c2c25,kvazar
Коралловый,#ff7f50,coral
Коричневый,#964b00,brown
Красный,#ff0000,red
Магнолия,#FAF0E6,magnolia
Мрамор бежевый,#fff8dc,beige-marble
Мрамор белый,#F5F5F5,white-marble
Мраморный берег,#23282B,marble-сoast
Мускат структурный,#a6a394,muskat-structure
Нео,#8a857f,neo
Океания,#0000c2,ocean
Олдвуд,#887868,olwood
Олива Софт,#445328,oliva-soft
Оранжевый,#ffa500,orange
Розовый,#ffc0cb,pink
Рустика Лайм,#98fb98,rustic-lime
Сандал светлый,#e5e0da,sandal-light
Сантекс бежевый,#f5e3bc,santex-beige
Светло-серый,#bbbbbb,light-grey
Семолина бежевая,#efdfd5,semolina-beige
Серый,#808080,grey
Синий,#0000ff,blue
Сиреневый,#c8a2c8,lilac
Сосна Карелия,#e6d7c4,Karelia-pine
Сосна Санторини светлый,#dfdcd7,santorini-pine
Тауп,#b9a281,taup
Тёмно-серый,#49423d,dark-grey
Тёмно-фиолетовый,#9400d3,dark-violet
Трюфель текстурный,#BDB1AC,truffle
Фисташковый структурный,#becd74,pistachio
Цемент светлый,#EDECE9,light-cement
Цемент тёмный,#434247,dark-cement
Чёрная Шагрень,#1E1112,black-shagen
Чёрный,#000000,black
Шато Индиго,#4285B4,shato-indigo
Шато Мята,#abe4ad,shato-mint
Ясень Альпийский,#cfab95,ash-alpine
Ясень Анкор светлый,#dedadb,ash-ancor
Ясень Шимо светлый,#baa69b,ash-shimo-light
Ясень Шимо тёмный,#98745e,ash-shimo-dark
Бетон графит,#474a51,concrete-grafit
Бетон снежный,#FFFAFA,concrete-snow
Железный камень,#232420,iron-stone
